Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Analyst, Data Scientist",$78T - $1L (Glassdoor Est.),"Prologis is the global leader in logistics real estate. We own, manage and develop high-quality properties in the world’s most vibrant centers of commerce, approximately 990 million square feet in 19 countries. Some of the world’s largest brands (e.g., Amazon, BMW, DHL, FedEx, Pepsi) turn to us because they know an efficient supply chain will make their businesses run better, and a strategic relationship with Prologis will create competitive advantage. As the top ranked U.S. company and sixth overall among the Global 100 Most Sustainable Corporations in the World, we take our global footprint seriously.
Job Title:
Analyst, Data Scientist
Company:
Prologis
#LI-AN1
All job offers are contingent upon successful completion of drug screen and background verification. Prologis is an Equal Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religions, sex, national origin, sexual orientation, gender identity, disability status, protected veteran status, or any other characteristic protected by law.
Full time
San Francisco, California",4.3,"Prologis
4.3","San Francisco, CA",1001 to 5000 Employees,1983,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD)
Associate Data Scientist,$84T - $2L (Glassdoor Est.),"About Gap Inc.
Our brands bridge the gaps we see in the world. Old Navy democratizes style to ensure everyone has access to quality fashion at every price point. Athleta unleashes the potential of every woman, regardless of body size, age or ethnicity. Banana Republic believes in sustainable luxury for all. And Gap inspires the world to bring individuality to modern, responsibly made essentials.
This simple idea—that we all deserve to belong, and on our own terms—is core to who we are as a company and how we make decisions. Our team is made up of thousands of people across the globe who take risks, think big, and do good for our customers, communities, and the planet. Ready to learn fast, create with audacity and lead boldly? Join our team.",3.8,"Gap Inc.
3.8","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing, & Shoe Shops",Retail,$10+ billion (USD)
Associate Data Scientist,$1L - $2L (Glassdoor Est.),"About Gap Inc.
Our brands bridge the gaps we see in the world. Old Navy democratizes style to ensure everyone has access to quality fashion at every price point. Athleta unleashes the potential of every woman, regardless of body size, age or ethnicity. Banana Republic believes in sustainable luxury for all. And Gap inspires the world to bring individuality to modern, responsibly made essentials.
This simple idea—that we all deserve to belong, and on our own terms—is core to who we are as a company and how we make decisions. Our team is made up of thousands of people across the globe who take risks, think big, and do good for our customers, communities, and the planet. Ready to learn fast, create with audacity and lead boldly? Join our team.",3.8,"Gap Inc.
3.8","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing, & Shoe Shops",Retail,$10+ billion (USD)
Data Scientist,$115 - $140 Per Hour(Employer Est.),"JOB TYPE: Freelance, Contract Position - No agencies (See notes below)
LOCATION: Remote. Must be in the US to apply
HOURLY RANGE: Our client is looking to pay $115 - $140 USD / HR
ESTIMATED DURATION: 40Hrs/Week - Long Term, on-going project
HIGH-LEVEL QUALIFICATIONS:

ABOUT US:
Braintrust (usebraintrust.com) is a user-controlled talent network, where you keep 100% of what you earn and actually get to own the platform. We've been onboarding some big clients and specifically need a Data Scientist for our client.








This is a remote position.",4.7,"Braintrust
4.7","San Francisco, CA",Unknown,2018,Company - Private,Consulting,Business Service,$5 to $10 million (USD)
Data Scientist,$1L - $1L (Employer Est.),"JOB TYPE: Freelance, Contract Position - No agencies (See notes below)
LOCATION: Remote. Must be in the US to apply
HOURLY RANGE: Our client is looking to pay $115 - $140 USD / HR
ESTIMATED DURATION: 40Hrs/Week - Long Term, on-going project
HIGH-LEVEL QUALIFICATIONS:

ABOUT US:
Braintrust (usebraintrust.com) is a user-controlled talent network, where you keep 100% of what you earn and actually get to own the platform. We've been onboarding some big clients and specifically need a Data Scientist for our client.








This is a remote position.",4.7,"Braintrust
4.7","San Francisco, CA",Unknown,2018,Company - Private,Consulting,Business Service,$5 to $10 million (USD)
Data scientist,$92T - $2L (Glassdoor Est.),"August 31, 2018
Data scientist
Job Requirements:
Conceptual understanding in Machine Learning models like Nai¨ve Bayes, K-Means, SVM, Apriori, Linear/ Logistic Regression, Neural, Random Forests, Decision Trees, K-NN along with hands-on experience in at least 2 of them
Intermediate to expert level coding skills in Python/R. (Ability to write functions, clean and efficient data manipulation are mandatory for this role)
Exposure to packages like NumPy, SciPy, Pandas, Matplotlib etc in Python or GGPlot2, dplyr, tidyR in R",3.8,"Avila Trading
3.8","San Francisco, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data scientist,$1L - $2L (Glassdoor Est.),"August 31, 2018
Data scientist
Job Requirements:
Conceptual understanding in Machine Learning models like Nai¨ve Bayes, K-Means, SVM, Apriori, Linear/ Logistic Regression, Neural, Random Forests, Decision Trees, K-NN along with hands-on experience in at least 2 of them
Intermediate to expert level coding skills in Python/R. (Ability to write functions, clean and efficient data manipulation are mandatory for this role)
Exposure to packages like NumPy, SciPy, Pandas, Matplotlib etc in Python or GGPlot2, dplyr, tidyR in R",3.8,"Avila Trading
3.8","San Francisco, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"Business Data Scientist, gTech Users and Products, Analytics",$95T (Employer Est.),"Note: By applying to this position you will have an opportunity to share your preferred working location for this position from the following: Mountain View, CA, USA; Boulder, CO, USA
Minimum qualifications:
Bachelor's degree in a quantitative discipline such as Statistics, Engineering, Sciences, or equivalent practical experience.
Experience in SQL and one scripting/statistical programming language.
Experience communicating data discoveries into actionable insights for business stakeholders.

Preferred qualifications:






Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",4.5,"Google
4.5","Mountain View, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Business Data Scientist, gTech Users and Products, Analytics",$1L - $2L (Glassdoor Est.),"Note: By applying to this position you will have an opportunity to share your preferred working location for this position from the following: Mountain View, CA, USA; Boulder, CO, USA
Minimum qualifications:
Bachelor's degree in a quantitative discipline such as Statistics, Engineering, Sciences, or equivalent practical experience.
Experience in SQL and one scripting/statistical programming language.
Experience communicating data discoveries into actionable insights for business stakeholders.

Preferred qualifications:






Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",4.5,"Google
4.5","Mountain View, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Associate Data Scientist,$96T - $2L (Glassdoor Est.),"Current Employees of LendingClub: Please apply via your internal Workday Account
LendingClub Corporation (NYSE: LC) is the parent company of LendingClub Bank, National Association, Member FDIC, and the only full-spectrum fintech marketplace bank. Members can gain access to a broad range of financial products and services through a technology-driven platform, designed to help them pay less when borrowing and earn more when saving. Since 2007, more than 3 million members have joined the Club to help reach their financial goals. We’re leading the governance of a new industry by developing ethical, responsible ways to bring greater value and better opportunities to our members. Everyone deserves a better financial future and our team is committed to making that a reality. Come join us!

Lending Club's Decision Science/Alternative Data team is looking for a data scientist to join their team.
The Data Science team plays an instrumental part in researching, analyzing, and quantifying the value of external data for LendingClub. LendingClub utilizes a combination of data throughout our processes and extracting the full value potential through the creation of new attributes and analytical solutions is where you come in! In this role, you should have critical thinking, highly analytical, and problem-solving skills.",3.6,"LendingClub
3.6","San Francisco, CA",1001 to 5000 Employees,2006,Company - Public,Banks & Building Society,Finance,$500 million to $1 billion (USD)
Data Scientist,$95T - $2L (Glassdoor Est.),"About Gap Inc.
Our brands bridge the gaps we see in the world. Old Navy democratizes style to ensure everyone has access to quality fashion at every price point. Athleta unleashes the potential of every woman, regardless of body size, age or ethnicity. Banana Republic believes in sustainable luxury for all. And Gap inspires the world to bring individuality to modern, responsibly made essentials.
This simple idea—that we all deserve to belong, and on our own terms—is core to who we are as a company and how we make decisions. Our team is made up of thousands of people across the globe who take risks, think big, and do good for our customers, communities, and the planet. Ready to learn fast, create with audacity and lead boldly? Join our team.",3.8,"Gap Inc.
3.8","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing, & Shoe Shops",Retail,$10+ billion (USD)
Data Scientist,$78T - $2L (Glassdoor Est.),"Our team is committed to advancing healthcare efficiency and outcomes with the latest data science and AI/ML technologies. We are looking for people that are passionate about improving healthcare. As a core member of our team, this role will work with a cross-functional team to apply computational, computer science, data science and AI research and development principles, with relevant domain science knowledge, to perform research and technology integration and development. The primary responsibilities include driving innovation by identifying areas to apply AI technology, researching the latest machine learning/ deep learning algorithms, implementing algorithms end-to-end at scale in a high performance computing (HPC) environment, build and maintain data science pipelines, formulate problems and advise the product development team with data science insights.

Data scientist and AI/ML practitioner who applies computational, computer science, data science and statistical research and development principles, with relevant domain science knowledge, to perform research and technology integration and development. Responsibilities include research, design, development, analysis, operation, and support of data science driven healthcare delivery technologies. Develops ML/AI algorithms and performs computations, statistical analyses, interpretation and reporting of research. The primary responsibility is to apply computational and data science technology as a tool to accomplish to develop novel solutions to improve both clinical and operational aspects of healthcare delivery. Resolves complex research and technology development and integration issues. Gives technical presentations to associated research and technology groups and management. Evaluates new hardware and software technologies for advancing complex computational and data science solutions. May represent the organization as part of a team at national and international meetings, conferences and committees. May lead a team of technical staff.",4.1,"University of California San Francisco
4.1","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,$25 to $50 million (USD)
Data Scientist,$98T - $2L (Glassdoor Est.),"Why LendingHome
With our built-from-scratch technology that covers every stage of the loan process, LendingHome has opened access and simplified a way for real estate investors—both novice and experienced—to get financing, generate wealth, and build businesses. Since founded in 2013, we have funded over $7 billion dollars worth of loans across about 32,000+ projects, becoming the nation's largest hard money lender. Combining the best technology and the most knowledgeable people, LendingHome has grown to a team of over 300 and has won many awards over the years including Forbes Fintech 50, Finovate Awards: Best Digital Mortgage Platform, Fast Company's Most Innovative Companies, and many more. LendingHome is uniquely positioned to become the next great financial services brand powered by the most advanced mortgage platform in the world.
More than $7 billion",4.2,"LendingHome
4.2","San Francisco, CA",201 to 500 Employees,2013,Company - Private,Lending,Finance,Unknown / Non-Applicable
Data Scientist (No C2C),$65 - $75 Per Hour(Employer Est.),"JOB TYPE: Freelance, Contract Position - No agencies (See notes below)
LOCATION: Remote (TimeZone: BST, CST, EST)
HOURLY RANGE: Our client is looking to pay $65 - $75 USD / HR
ESTIMATED DURATION: 40Hrs/Week - Long Term, 6-month project

ABOUT US:
Braintrust (usebraintrust.com) is a user-controlled talent network, where you keep 100% of what you earn and actually get to own the platform. We've been onboarding some big clients and specifically need a Data Scientist for our client.









This is a remote position.",4.7,"Braintrust
4.7","San Francisco, CA",Unknown,2018,Company - Private,Consulting,Business Service,$5 to $10 million (USD)
Data Scientist,$84T - $2L (Glassdoor Est.),"Company
Doorstead is on a mission to revolutionize the property management industry with modern technology and data-driven pricing.
The Team
The Data Team at Doorstead works with the Product and Engineering teams to design, experiment, and deploy machine learning products to provide industry-leading service to our owners and tenants.
The Role
We're seeking a mid-level Data Scientist to join our small but growing Data Team. The ideal candidate will have the mathematical and statistical expertise you'd expect, but a natural curiosity and creative mind. As you mine, interpret, and clean our data, we will rely on you to ask questions, connect the dots, and uncover opportunities that lie hidden within—while keeping an understanding of the business case in mind. You should be a problem solver and a fast learner. Since we are a small company in the rapid growth stage you should also have a keen sense of when to sacrifice predictive accuracy for a more rapid and simple solution.",4.5,"Doorstead
4.5","San Francisco, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,$99T - $2L (Glassdoor Est.),"About Us
Since 2005, Prosper has helped advance financial well-being for our users! With over 1 million users gaining access to $19 billion in loans, Prosper is the first peer-to-peer marketplace lender in US. It is built on a simple idea: connect people who want to borrow money with those who have money to invest. We are believers of advancing financial well-being and are passionate about offering our customers a portfolio of products from HELOC to Personal Loans and Credit Card. Our diverse culture rewards accountability and cross functional teamwork because we believe that this this enables the kind of innovative thinking that will accelerate our mission.
We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere. It is important to us that every hire connects with our vision, mission and core values. Join a leading fintech company that’s democratizing finance for all!",3.7,"Prosper
3.7","San Francisco, CA",201 to 500 Employees,2005,Company - Private,Lending,Finance,$100 to $500 million (USD)
Data Scientist,$89T - $2L (Glassdoor Est.),"THIS POSITION IS REMOTE
Magnitude is a Cloud-based 3PL Technology Startup focused on redesigning and innovating the Transportation and Supply Chain Industry. Our main mission is to reduce waste in the transportation sector by optimizing it with automation and machine learning technology.
www.magnitudetechnologysolutions.com
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our logistics solutions. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.",5.0,"magnitude
5.0","San Francisco, CA",1 to 50 Employees,2018,Company - Private,Advertising & Marketing,Business Service,Unknown / Non-Applicable
Data Scientist,$86T - $2L (Glassdoor Est.),"Data Scientists build advanced AI models that change the way our clients do business by empowering them to make better decisions.

As a Data Scientist, you will collaborate with our Client Service team, Engineers, UX Designers, and industry-specific experts from our client companies to build a deep understanding of our clients business context and then develop, test, and deploy advanced AI models.

Must haves:
4+ years of experience applying advanced AI techniques (eg., machine learning, predictive analytics, optimization, semantic analysis, time-series analysis, advanced visualization) to real-world problems
Experience manipulating and preparing large, heterogeneous data sets (Big Data) to support advanced analytics",5.0,"Abacus.ai
5.0","San Francisco, CA",1 to 50 Employees,2019,Unknown,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,$73T - $1L (Glassdoor Est.),"We’d love to hear from you if you like:

Start-up energy working with a brilliant and passionate team
$900 billion market opportunity
Exponential growth (10X revenue in 2020)
Rockstar teammates. You will be working with a strong leadership team from Facebook, Alibaba, Amazon, Lending Club, GEICO, SoFi, etc.

A few examples of the exciting projects that we are working on:
Create a smart prediction engine for customer’s insurance coverage needs
Build predictive models on customer purchase behavior based on a large data set",3.9,"Jerry
3.9","San Francisco, CA",51 to 200 Employees,2017,Company - Private,Insurance Agencies & Brokerage,Insurance,Unknown / Non-Applicable
Data Scientist - Nationwide Opportunities,$1L (Employer Est.),"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience
Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory
4+ years of industry experience in predictive modeling, data science, and analysis
Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models
Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility
Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models
Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?

At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.

AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.

Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have thirteen employee-led affinity groups, reaching 85,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life harmony. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here. We are a customer-obsessed organization—leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. As such, this is a customer facing role in a hybrid delivery model. Project engagements include remote delivery methods and onsite engagement that will include travel to customer locations as needed.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.

This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

For employees based in Colorado, this position starts at $114,700 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",3.8,"Amazon Web Services, Inc.
3.8","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,$98T - $2L (Glassdoor Est.),"Snapdocs is a rapidly growing San Francisco-based real estate technology unicorn backed by leading investors Sequoia, Y Combinator, Tiger Global, F-Prime, and others. We're on a mission to perfect mortgage closings for all. Powering millions of closings a year, Snapdocs is leading the charge to modernize, streamline, and improve the mortgage process for lenders, borrowers, and settlement.
At Snapdocs, we are on a mission to enhance the real estate closing process with efficiency and transparency so that lenders can close their loans sooner and home buyers can move into their dream homes quicker. To help us accomplish this goal, we are looking to bring on a Data Scientist to join our small but mighty team of three Data Scientists! The ideal candidate is someone who relishes pouring over messy data to find patterns and train machines to do so with high accuracy and recall. If this sounds exciting, read on...

As a Data Scientist, you will focus on building machine learning models to support the core products at Snapdocs. Your first project will be improving the performance of our document classification and annotation prediction models. You will also help research and prototype new applications for machine learning at Snapdocs and perform exploratory analysis on new product areas. Additionally, you'll build and maintain production quality machine learning models and explore and prepare disparate data sources for machine learning work. Lastly, you will be a key member of our small team and will drive high impact throughout the organization!",4.6,"Snapdocs
4.6","San Francisco, CA",201 to 500 Employees,2014,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Data Scientist,$81T - $2L (Glassdoor Est.),"At Carrum, we live and breathe the mission of transforming the healthcare system to create an unmatched experience for patients. If you are passionate about changing healthcare and want to finally get rid of surprise bills, poor quality, and high prices, while thriving in an entrepreneurial, cutting-edge environment, we would love to connect with you.
In 2014 Carrum reinvented the Center of Excellence (CoE) category in digital health. We are the only company in this space with a digital platform and mobile app powering this novel marketplace. Today, most of the US population lives within a 3 hours driving distance of a Carrum CoE and our providers rank in the top 10% nationally. Our team's execution has been recognized by the venture community and we've raised more than $50M in aggregate from investors like Tiger Global Management and Wildcat Ventures. Our impact has been externally proven in a 2021 RAND Corporation study and featured as a Harvard Business School (HBS) case study.",4.5,"Carrum Health
4.5","San Francisco, CA",1 to 50 Employees,2014,Company - Private,Healthcare Services & Hospital,Healthcare,Unknown / Non-Applicable
